ds,residuals
2021-12-27,826.7894440794826
2021-12-28,-1512.3903581132581
2021-12-29,4577.357258310918
2021-12-30,4709.952002498932
2021-12-31,-5260.1953408974005
2022-01-01,-3515.710850301948
2022-01-02,-12611.750862094112
2022-01-03,-7922.790451185236
2022-01-04,-9556.839153341189
2022-01-05,-8940.979783626583
2022-01-06,-4484.054674173924
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,-5393.944646266198
2022-01-10,-12244.537169914402
2022-01-11,-13518.962602744925
2022-01-12,-12990.870423170256
2022-01-13,-15499.822242154169
2022-01-14,-23918.25148860202
2022-01-15,-22100.335793692775
2022-01-16,-2936.4864195810296
2022-01-17,-8412.21532469309
2022-01-18,-10223.473357516377
2022-01-19,-10852.151972643409
2022-01-20,-13893.164753901276
2022-01-21,-22829.30571976539
2022-01-22,-21510.25221756755
2022-01-23,-2822.605199492449
2022-01-24,-8748.778882223178
2022-01-25,-10982.341156143422
2022-01-26,-12003.49801210694
2022-01-27,-15398.236845631089
2022-01-28,-24656.84169846035
2022-01-29,-23629.122189841244
2022-01-30,-5202.2799638376855
2022-01-31,-11359.713385724288
2022-02-01,4122.011415093448
2022-02-02,3505.2307962251925
2022-02-03,388.26904884436954
2022-02-04,5265.131095787197
2022-02-05,6795.153842320673
2022-02-06,-8660.964460473606
2022-02-07,8908.911893190549
2022-02-08,-1264.961092440035
2022-02-09,1459.0955450602742
2022-02-10,12232.152409333044
2022-02-11,8865.745021946685
2022-02-12,5506.211514319442
2022-02-13,-12207.530780407264
2022-02-14,1787.1428818040295
2022-02-15,4703.43706921193
2022-02-16,6240.857579694111
2022-02-17,4269.56487109415
2022-02-18,7229.24644755444
2022-02-19,2412.9663165795573
2022-02-20,-14933.131104953485
2022-02-21,13284.6242049891
2022-02-22,14223.809672764026
2022-02-23,19381.73534269462
2022-02-24,12813.282172741154
2022-02-25,6021.221946729063
2022-02-26,-317.0822883640649
2022-02-27,-15809.556176167076
