,ds,y,sunshine_amount,rain_sum,windspeed,air_temperature
266,2021-09-24,39118.5,40.0,0.4,3.6,12.5
267,2021-09-25,39591.9,351.0,0.0,3.9,18.1
268,2021-09-26,41752.9,112.0,0.0,3.6,15.7
269,2021-09-27,22453.7,0.0,11.8,5.3,14.9
270,2021-09-28,23611.5,160.0,0.30000000000000004,3.6,16.7
271,2021-09-29,24640.8,0.0,1.8,4.4,13.1
272,2021-09-30,29126.0,0.0,8.7,5.4,11.2
273,2021-10-01,33219.7,0.0,16.0,6.5,13.4
274,2021-10-02,39949.2,0.0,5.3,3.5,13.5
275,2021-10-03,34805.3,0.0,24.1,5.2,14.0
276,2021-10-04,19409.5,0.0,2.1,4.9,14.2
277,2021-10-05,23366.4,0.0,8.0,4.4,13.7
278,2021-10-06,35661.6,0.0,0.2,8.1,11.7
279,2021-10-07,29171.2,0.0,0.0,2.3,12.9
280,2021-10-08,37515.0,0.0,3.2,4.2,13.1
281,2021-10-09,38726.9,0.0,0.0,4.5,14.7
282,2021-10-10,38229.8,0.0,3.9000000000000004,3.6,11.4
283,2021-10-11,24496.9,0.0,0.0,5.8,12.4
284,2021-10-12,29651.5,0.0,0.0,5.7,12.2
285,2021-10-13,29540.4,0.0,0.2,3.9,7.6
286,2021-10-14,32469.7,0.0,0.0,6.0,12.1
287,2021-10-15,58779.2,0.0,0.0,5.4,11.8
288,2021-10-16,46782.6,0.0,0.0,5.5,12.0
289,2021-10-17,45819.2,0.0,0.0,4.6,9.0
290,2021-10-18,19829.5,0.0,0.0,2.3,7.6
291,2021-10-19,22025.4,0.0,5.1,3.3,3.9
292,2021-10-20,29148.2,0.0,0.5,5.4,12.1
293,2021-10-21,32092.8,0.0,0.0,6.4,10.5
294,2021-10-22,48382.6,0.0,0.0,5.1,10.6
295,2021-10-23,39460.9,0.0,0.0,4.4,9.6
296,2021-10-24,38498.7,0.0,0.0,5.7,10.9
297,2021-10-25,17572.9,0.0,0.8,4.3,10.9
298,2021-10-26,22761.5,0.0,0.0,4.9,10.9
299,2021-10-27,21164.5,0.0,1.5999999999999999,3.1,13.8
300,2021-10-28,27932.3,0.0,0.0,7.7,12.6
301,2021-10-29,42569.0,0.0,0.39999999999999997,5.7,11.5
302,2021-10-30,43111.7,0.0,3.9,4.7,12.7
303,2021-10-31,38836.8,0.0,0.6,4.2,11.6
304,2021-11-01,21503.5,0.0,1.1,7.2,11.6
305,2021-11-02,20109.2,0.0,0.7,5.3,10.2
306,2021-11-03,20028.9,0.0,0.1,2.9,8.3
307,2021-11-04,24446.3,0.0,0.0,2.9,6.5
308,2021-11-05,26744.7,0.0,0.0,2.6,3.1
309,2021-11-06,32777.9,0.0,2.2,4.7,6.9
310,2021-11-07,36197.9,0.0,3.0,7.0,4.1
311,2021-11-08,1674.2,0.0,0.8,4.5,3.1
312,2021-11-09,25267.0,0.0,0.1,5.3,9.3
313,2021-11-10,22684.2,0.0,0.0,3.6,9.7
314,2021-11-11,21577.2,0.0,0.0,6.7,9.7
315,2021-11-12,37965.0,0.0,0.4,6.2,5.4
316,2021-11-13,44560.0,0.0,0.0,6.5,4.4
317,2021-11-14,31093.2,0.0,0.1,3.7,1.7
318,2021-11-15,18315.0,0.0,0.0,4.4,7.3
319,2021-11-16,15654.5,0.0,0.0,5.2,8.7
320,2021-11-17,22251.0,0.0,0.0,6.4,8.5
321,2021-11-18,23458.1,0.0,0.2,2.4,4.5
322,2021-11-19,36962.7,0.0,0.0,6.5,15.1
323,2021-11-20,40575.2,0.0,0.0,5.6,8.4
324,2021-11-21,33469.7,0.0,0.0,6.5,5.2
325,2021-11-22,14599.2,0.0,0.0,2.5,2.4
326,2021-11-23,16805.8,0.0,0.0,1.5,3.3
327,2021-11-24,19879.2,0.0,0.0,2.8,6.0
328,2021-11-25,22890.5,0.0,0.0,4.9,3.5
329,2021-11-26,41345.5,0.0,0.0,4.6,-0.5
330,2021-11-27,35340.3,0.0,0.0,7.0,-2.5
331,2021-11-28,33501.4,0.0,0.0,7.9,-1.6
332,2021-11-29,20592.3,0.0,0.1,3.6,-4.5
333,2021-11-30,16291.6,0.0,0.7,4.5,-3.9
334,2021-12-01,22618.0,0.0,0.0,3.1,-6.7
335,2021-12-02,26348.3,0.0,0.0,4.3,-4.2
336,2021-12-03,33582.9,0.0,1.0,5.0,-6.4
337,2021-12-04,32941.3,0.0,0.0,5.0,-5.3
338,2021-12-05,28509.7,0.0,0.0,6.4,-3.8
339,2021-12-06,14210.0,0.0,0.1,4.2,-8.6
340,2021-12-07,14993.6,0.0,0.30000000000000004,5.2,-7.7
341,2021-12-08,21215.2,0.0,1.3,6.2,-2.0
342,2021-12-09,23574.3,0.0,2.7,4.3,-0.1
343,2021-12-10,26324.4,0.0,1.6,5.9,0.3
344,2021-12-11,35210.6,0.0,0.2,5.3,1.8
345,2021-12-12,28196.3,0.0,3.1999999999999997,2.4,1.5
346,2021-12-13,14144.1,0.0,1.1,3.3,3.1
347,2021-12-14,19144.8,0.0,0.0,3.1,3.8
348,2021-12-15,17384.6,0.0,0.0,2.8,4.3
349,2021-12-16,21352.4,0.0,0.0,5.2,8.3
350,2021-12-17,25574.0,0.0,0.0,2.7,4.0
351,2021-12-18,22254.2,0.0,0.1,3.8,6.8
352,2021-12-19,25965.7,0.0,0.0,6.1,5.5
353,2021-12-20,23530.7,0.0,0.0,5.7,4.0
354,2021-12-21,17227.8,0.0,1.5,1.9,-1.9
355,2021-12-22,17374.8,0.0,0.5,1.7,-1.6
356,2021-12-23,0.0,0.0,0.0,3.1,-1.9
357,2021-12-24,0.0,0.0,0.0,6.3,-2.7
358,2021-12-25,0.0,0.0,0.0,5.3,-0.2
359,2021-12-26,0.0,0.0,0.0,2.1,-2.9
360,2021-12-27,21775.2,0.0,0.0,4.2,-5.0
361,2021-12-28,14929.0,0.0,0.0,5.1,-3.9
362,2021-12-29,14948.0,0.0,0.0,2.9,-3.7
363,2021-12-30,19333.5,0.0,0.30000000000000004,3.6,1.0
364,2021-12-31,0.0,0.0,0.0,3.1,0.4
365,2022-01-01,0.0,0.0,7.6,2.7,-0.1
366,2022-01-02,0.0,0.0,0.1,2.7,1.0
367,2022-01-03,0.0,0.0,0.30000000000000004,5.3,3.7
368,2022-01-04,0.0,0.0,0.0,3.1,0.3
369,2022-01-05,0.0,0.0,0.0,6.2,0.2
370,2022-01-06,0.0,0.0,0.0,5.3,-1.5
371,2022-01-07,0.0,0.0,3.9,6.8,-2.8
372,2022-01-08,0.0,0.0,0.5,6.1,-2.5
373,2022-01-09,0.0,0.0,0.0,6.3,-0.9
374,2022-01-10,0.0,0.0,0.1,5.7,-0.6
375,2022-01-11,0.0,0.0,3.3,5.2,2.7
376,2022-01-12,0.0,0.0,0.0,2.9,3.1
377,2022-01-13,0.0,0.0,0.0,7.6,12.3
378,2022-01-14,0.0,0.0,0.0,10.1,10.8
379,2022-01-15,0.0,0.0,0.0,2.4,0.5
380,2022-01-16,0.0,0.0,0.30000000000000004,9.0,6.1
381,2022-01-17,0.0,0.0,0.0,8.0,4.2
382,2022-01-18,0.0,0.0,0.0,2.4,-1.1
383,2022-01-19,0.0,0.0,0.8,10.5,4.9
384,2022-01-20,0.0,0.0,0.0,7.6,1.0
385,2022-01-21,0.0,0.0,0.0,2.1,1.7
386,2022-01-22,0.0,0.0,0.0,2.2,1.4
387,2022-01-23,0.0,0.0,0.0,2.1,0.5
388,2022-01-24,0.0,0.0,0.0,3.2,1.6
389,2022-01-25,0.0,0.0,0.0,2.8,4.6
390,2022-01-26,0.0,0.0,0.0,5.3,6.8
391,2022-01-27,0.0,0.0,0.0,8.1,6.5
392,2022-01-28,0.0,0.0,1.1,6.9,4.5
393,2022-01-29,0.0,0.0,0.0,10.4,8.7
394,2022-01-30,0.0,0.0,0.0,9.4,6.2
395,2022-01-31,0.0,0.0,0.0,3.7,-1.9
396,2022-02-01,18794.5,0.0,7.1000000000000005,4.2,-4.0
397,2022-02-02,15103.5,0.0,0.4,5.0,-2.9
398,2022-02-03,18287.5,0.0,4.1,3.7,-2.5
399,2022-02-04,26906.7,0.0,0.2,4.6,3.5
400,2022-02-05,32732.7,0.0,0.0,4.7,3.9
401,2022-02-06,27190.3,0.0,0.0,6.3,2.9
402,2022-02-07,14644.9,0.0,0.0,3.0,7.5
403,2022-02-08,15450.4,0.0,0.0,4.4,8.0
404,2022-02-09,17916.9,0.0,0.0,7.0,6.5
405,2022-02-10,16007.1,0.0,0.0,5.0,4.9
406,2022-02-11,31729.2,0.0,0.0,4.5,2.4
407,2022-02-12,28559.5,0.0,0.0,6.5,4.6
408,2022-02-13,31521.1,0.0,3.6,6.2,6.3
409,2022-02-14,19776.2,0.0,18.0,7.2,3.9
410,2022-02-15,17162.4,0.0,7.0,5.6,4.5
411,2022-02-16,20491.6,0.0,2.2,4.4,3.6
412,2022-02-17,20894.7,0.0,0.0,4.6,3.2
413,2022-02-18,28497.1,0.0,0.0,6.5,5.4
414,2022-02-19,23914.9,0.0,0.0,6.2,2.5
415,2022-02-20,32968.7,0.0,0.9,4.4,1.4
416,2022-02-21,16941.8,0.0,0.30000000000000004,6.6,1.7
417,2022-02-22,22151.9,0.0,2.7,4.9,0.4
418,2022-02-23,27965.0,0.0,0.2,7.6,5.2
419,2022-02-24,23634.7,0.0,2.1,7.0,5.6
420,2022-02-25,33094.1,0.0,0.0,4.9,5.9
421,2022-02-26,27779.3,0.0,0.0,4.7,3.8
422,2022-02-27,32502.4,0.0,0.0,5.7,6.1
423,2022-02-28,14098.7,0.0,0.0,5.4,3.8
424,2022-03-01,16737.9,152.0,0.0,5.7,8.1
425,2022-03-02,21348.7,156.0,0.0,5.1,10.7
426,2022-03-03,24733.9,143.0,0.0,2.9,6.5
427,2022-03-04,37189.5,219.0,0.0,3.9,5.1
428,2022-03-05,30086.7,283.0,0.0,2.6,4.4
429,2022-03-06,40508.9,176.0,0.0,3.2,8.0
430,2022-03-07,14454.9,121.0,0.0,2.4,8.1
