,ds,cluster_label,sunshine_amount,fellesferie,is_may,covid_restriction_christmas,fall_start,covid_loose_fall21,christmas_shopping,rain_sum,windspeed,air_temperature,day_of_week,month,heavy_rain_fall_weekend,heavy_rain_winter_weekday,heavy_rain_winter_weekend,non_heavy_rain_fall_weekend,week_number,custom_regressor
161,2021-06-11,4.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,6,0,0,0,0,23,0.0
162,2021-06-12,4.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,6,0,0,0,0,23,0.0
163,2021-06-13,4.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,6,0,0,0,0,23,0.0
164,2021-06-14,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,6,0,0,0,0,24,0.0
165,2021-06-15,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,6,0,0,0,0,24,0.0
166,2021-06-16,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,6,0,0,0,0,24,0.0
167,2021-06-17,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,6,0,0,0,0,24,0.0
168,2021-06-18,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,6,0,0,0,0,24,0.0
169,2021-06-19,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,6,0,0,0,0,24,0.0
170,2021-06-20,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,6,0,0,0,0,24,0.0
171,2021-06-21,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,6,0,0,0,0,25,0.0
172,2021-06-22,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,6,0,0,0,0,25,0.0
173,2021-06-23,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,6,0,0,0,0,25,0.0
174,2021-06-24,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,6,0,0,0,0,25,0.0
175,2021-06-25,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,6,0,0,0,0,25,0.0
176,2021-06-26,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,6,0,0,0,0,25,0.0
177,2021-06-27,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,6,0,0,0,0,25,0.0
178,2021-06-28,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,6,0,0,0,0,26,0.0
179,2021-06-29,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,6,0,0,0,0,26,0.0
180,2021-06-30,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,6,0,0,0,0,26,0.0
181,2021-07-01,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,7,0,0,0,0,26,0.0
182,2021-07-02,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,7,0,0,0,0,26,0.0
183,2021-07-03,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,7,0,0,0,0,26,0.0
184,2021-07-04,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,7,0,0,0,0,26,0.0
185,2021-07-05,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,7,0,0,0,0,27,0.0
186,2021-07-06,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,7,0,0,0,0,27,0.0
187,2021-07-07,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,7,0,0,0,0,27,0.0
188,2021-07-08,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,7,0,0,0,0,27,0.0
189,2021-07-09,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,7,0,0,0,0,27,0.0
190,2021-07-10,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,7,0,0,0,0,27,0.0
191,2021-07-11,5.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,7,0,0,0,0,27,0.0
192,2021-07-12,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,7,0,0,0,0,28,0.0
193,2021-07-13,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,7,0,0,0,0,28,0.0
194,2021-07-14,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,7,0,0,0,0,28,0.0
195,2021-07-15,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,7,0,0,0,0,28,0.0
196,2021-07-16,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,7,0,0,0,0,28,0.0
197,2021-07-17,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,7,0,0,0,0,28,0.0
198,2021-07-18,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,7,0,0,0,0,28,0.0
199,2021-07-19,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,7,0,0,0,0,29,0.0
200,2021-07-20,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,7,0,0,0,0,29,0.0
201,2021-07-21,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,7,0,0,0,0,29,0.0
202,2021-07-22,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,7,0,0,0,0,29,0.0
203,2021-07-23,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,7,0,0,0,0,29,0.0
204,2021-07-24,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,7,0,0,0,0,29,0.0
205,2021-07-25,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,7,0,0,0,0,29,0.0
206,2021-07-26,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,7,0,0,0,0,30,0.0
207,2021-07-27,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,7,0,0,0,0,30,0.0
208,2021-07-28,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,7,0,0,0,0,30,0.0
209,2021-07-29,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,7,0,0,0,0,30,0.0
210,2021-07-30,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,7,0,0,0,0,30,0.0
211,2021-07-31,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,7,0,0,0,0,30,0.0
212,2021-08-01,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,8,0,0,0,0,30,0.0
213,2021-08-02,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,8,0,0,0,0,31,0.0
214,2021-08-03,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,8,0,0,0,0,31,0.0
215,2021-08-04,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,8,0,0,0,0,31,0.0
216,2021-08-05,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,8,0,0,0,0,31,0.0
217,2021-08-06,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,8,0,0,0,0,31,0.0
218,2021-08-07,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,8,0,0,0,0,31,0.0
219,2021-08-08,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,8,0,0,0,0,31,0.0
220,2021-08-09,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,8,0,0,0,0,32,0.0
221,2021-08-10,2.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,8,0,0,0,0,32,0.0
