,ds,y,sunshine_amount,rain_sum,windspeed,air_temperature,day_of_week,month,heavy_rain_spring_weekend,heavy_rain_spring_weekday,heavy_rain_fall_weekend,heavy_rain_fall_weekday,heavy_rain_winter_weekday,before_payday,on_payday,after_payday,specific_month,covid_restriction_christmas,week_number,custom_regressor,fall_start,christmas_shopping,name,event_size,start_date,end_date,date,sentrum_scene_concert_Monday,sentrum_scene_concert_Tuesday,sentrum_scene_concert_Sunday,sentrum_scene_concert_Friday,sentrum_scene_concert_Thursday,sentrum_scene_concert_Saturday,sentrum_scene_concert_Wednesday,days_since_last_30,days_until_next_30,high_weekend,low_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
48,2021-02-18,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,0,0,0.0,0,0.0,False,False,7,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,3,0,False,True,False,False,False,True,False,False,False
49,2021-02-19,0.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,0,0.0,0,0.0,False,False,7,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,4,0,False,True,False,False,False,False,True,False,False
50,2021-02-20,0.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,0.0,0,0.0,False,False,7,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,5,0,False,True,False,False,False,False,False,True,False
51,2021-02-21,0.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,0.0,0,0.0,False,False,7,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,False,True
52,2021-02-22,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,0.0,False,False,8,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,True,False,False,False,False,False,False
53,2021-02-23,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,0,0.75,0,0.0,False,False,8,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,True,False,False,False,False,False
54,2021-02-24,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,0.5,0,0.0,False,False,8,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,True,False,False,False,False
55,2021-02-25,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,0,0,0.25,0,0.0,False,False,8,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,True,False,False,False
56,2021-02-26,0.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,0,0.0,1,0.0,False,False,8,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,True,False,False
57,2021-02-27,0.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,0.0,0,0.36787944117144233,False,False,8,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,True,False
58,2021-02-28,0.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,0.0,0,0.1353352832366127,False,False,8,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,False,True
59,2021-03-01,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,0.049787068367863944,False,False,9,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,True,False,False,False,False,False,False
60,2021-03-02,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,0.0,0,0.0,False,False,9,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,True,False,False,False,False,False
61,2021-03-03,0.0,0.0,0.0,0.0,0.0,2,3,0,0,0,0,0,0.0,0,0.0,False,False,9,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,True,False,False,False,False
62,2021-03-04,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,0.0,0,0.0,False,False,9,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,True,False,False,False
63,2021-03-05,0.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,0.0,0,0.0,False,False,9,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,True,False,False
64,2021-03-06,0.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,0.0,0,0.0,False,False,9,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,True,False
65,2021-03-07,0.0,0.0,0.0,0.0,0.0,6,3,0,0,0,0,0,0.0,0,0.0,False,False,9,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,False,True
66,2021-03-08,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,0.0,False,False,10,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,True,False,False,False,False,False,False
67,2021-03-09,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,0.0,0,0.0,False,False,10,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,True,False,False,False,False,False
68,2021-03-10,0.0,0.0,0.0,0.0,0.0,2,3,0,0,0,0,0,0.0,0,0.0,False,False,10,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,5,False,True,False,False,True,False,False,False,False
69,2021-03-11,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,0.0,0,0.0,False,False,10,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,4,False,True,False,False,False,True,False,False,False
70,2021-03-12,0.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,0.0,0,0.0,False,False,10,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,3,False,True,False,False,False,False,True,False,False
71,2021-03-13,0.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,0.0,0,0.0,False,False,10,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,2,False,True,False,False,False,False,False,True,False
72,2021-03-14,0.0,0.0,0.0,0.0,0.0,6,3,0,0,0,0,0,0.0,0,0.0,False,False,10,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,1,False,True,False,False,False,False,False,False,True
73,2021-03-15,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,0.0,False,False,11,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,True,False,False,False,False,False,False
74,2021-03-16,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,0.0,0,0.0,False,False,11,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,1,0,False,True,False,True,False,False,False,False,False
75,2021-03-17,0.0,0.0,0.0,0.0,0.0,2,3,0,0,0,0,0,0.0,0,0.0,False,False,11,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,2,0,False,True,False,False,True,False,False,False,False
76,2021-03-18,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,0.0,0,0.0,False,False,11,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,3,0,False,True,False,False,False,True,False,False,False
77,2021-03-19,0.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,0.0,0,0.0,False,False,11,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,4,0,False,True,False,False,False,False,True,False,False
78,2021-03-20,0.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,0.0,0,0.0,False,False,11,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,5,0,False,True,False,False,False,False,False,True,False
79,2021-03-21,0.0,0.0,0.0,0.0,0.0,6,3,0,0,0,0,0,0.0,0,0.0,False,False,11,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,False,True
80,2021-03-22,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,0.0,False,False,12,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,True,False,False,False,False,False,False
81,2021-03-23,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,0.0,0,0.0,False,False,12,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,True,False,False,False,False,False
82,2021-03-24,0.0,0.0,0.0,0.0,0.0,2,3,0,0,0,0,0,0.0,0,0.0,False,False,12,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,True,False,False,False,False
83,2021-03-25,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,0.0,0,0.0,False,False,12,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,True,False,False,False
84,2021-03-26,0.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,0.0,0,0.0,False,False,12,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,True,False,False
85,2021-03-27,0.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,0.0,0,0.0,False,False,12,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,True,False
86,2021-03-28,0.0,0.0,0.0,0.0,0.0,6,3,0,0,0,0,0,0.75,0,0.0,False,False,12,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,False,True
87,2021-03-29,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0.5,0,0.0,False,False,13,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,True,False,False,False,False,False,False
88,2021-03-30,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,0.25,0,0.0,False,False,13,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,True,False,False,False,False,False
89,2021-03-31,0.0,0.0,0.0,0.0,0.0,2,3,0,0,0,0,0,0.0,1,0.0,False,False,13,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,True,False,False,False,False
90,2021-04-01,0.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,0.0,0,0.36787944117144233,False,False,13,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,True,False,False,False
91,2021-04-02,0.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,0.0,0,0.1353352832366127,False,False,13,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,True,False,False
92,2021-04-03,0.0,0.0,0.0,0.0,0.0,5,4,0,0,0,0,0,0.0,0,0.049787068367863944,False,False,13,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,True,False
93,2021-04-04,0.0,0.0,0.0,0.0,0.0,6,4,0,0,0,0,0,0.0,0,0.0,False,False,13,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,False,True
94,2021-04-05,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,0.0,False,False,14,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,True,False,False,False,False,False,False
95,2021-04-06,0.0,0.0,0.0,0.0,0.0,1,4,0,0,0,0,0,0.0,0,0.0,False,False,14,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,True,False,False,False,False,False
96,2021-04-07,0.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0,0,0.0,0,0.0,False,False,14,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,True,False,False,False,False
97,2021-04-08,0.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,0.0,0,0.0,False,False,14,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,True,False,False,False
98,2021-04-09,0.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,0.0,0,0.0,False,False,14,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,True,False,False
99,2021-04-10,0.0,0.0,0.0,0.0,0.0,5,4,0,0,0,0,0,0.0,0,0.0,False,False,14,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,5,False,True,False,False,False,False,False,True,False
100,2021-04-11,0.0,0.0,0.0,0.0,0.0,6,4,0,0,0,0,0,0.0,0,0.0,False,False,14,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,4,False,True,False,False,False,False,False,False,True
101,2021-04-12,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,0.0,False,False,15,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,3,False,True,True,False,False,False,False,False,False
102,2021-04-13,0.0,0.0,0.0,0.0,0.0,1,4,0,0,0,0,0,0.0,0,0.0,False,False,15,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,2,False,True,False,True,False,False,False,False,False
103,2021-04-14,0.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0,0,0.0,0,0.0,False,False,15,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,1,False,True,False,False,True,False,False,False,False
104,2021-04-15,0.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,0.0,0,0.0,False,False,15,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,True,False,False,False
105,2021-04-16,0.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,0.0,0,0.0,False,False,15,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,1,0,False,True,False,False,False,False,True,False,False
106,2021-04-17,0.0,0.0,0.0,0.0,0.0,5,4,0,0,0,0,0,0.0,0,0.0,False,False,15,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,2,0,False,True,False,False,False,False,False,True,False
107,2021-04-18,0.0,0.0,0.0,0.0,0.0,6,4,0,0,0,0,0,0.0,0,0.0,False,False,15,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,3,0,False,True,False,False,False,False,False,False,True
108,2021-04-19,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,0.0,False,False,16,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,4,0,False,True,True,False,False,False,False,False,False
109,2021-04-20,0.0,0.0,0.0,0.0,0.0,1,4,0,0,0,0,0,0.0,0,0.0,False,False,16,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,5,0,False,True,False,True,False,False,False,False,False
110,2021-04-21,0.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0,0,0.0,0,0.0,False,False,16,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,True,False,False,False,False
111,2021-04-22,0.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,0.0,0,0.0,False,False,16,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,True,False,False,False
112,2021-04-23,0.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,0.0,0,0.0,False,False,16,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,True,False,False
