ds,sunshine_amount,air_temperature,rain_sum,windspeed,ds,residuals,yhat,y,weekly,month_week_interaction,adjusted_forecast
2022-07-14,346.7,13.8,0.5,7.4,2022-07-14,-13779.214711396737,68072.21471139674,54293.0,-0.007039166000004827,196,46278.17564889674
2022-07-15,233.39999999999998,14.9,0.1,7.8,2022-07-15,24336.78980506445,43659.51019493555,67996.3,0.009751666558394295,196,57152.77484337305
2022-07-16,506.7,15.3,0.0,10.5,2022-07-16,-15976.159241613888,100007.05924161388,84030.9,0.02408613542234991,196,117601.10025723888
2022-07-17,67.0,15.5,5.4,4.9,2022-07-17,43542.06669380128,8651.933306198722,52194.0,0.0012200198237528746,196,40827.81416557372
2022-07-18,206.8,18.8,0.0,5.3,2022-07-18,22353.510716623525,37436.489283376475,59790.0,-0.011617559250077344,203,31646.941920095225
2022-07-19,406.6,26.4,0.0,8.8,2022-07-19,-42043.918555896504,78008.5185558965,35964.6,-0.007421338227213639,203,63506.0302746465
2022-07-20,200.1,27.0,0.0,7.5,2022-07-20,47430.59541840895,36300.40458159105,83731.0,-0.008979758327146042,203,30994.7331948723
2022-07-21,480.0,17.4,0.0,11.7,2022-07-21,-43375.37733625987,91854.87733625987,48479.5,-0.007039166000003676,203,56712.45936750987
2022-07-22,500.0,18.1,0.0,7.7,2022-07-22,-28066.360984564264,95167.26098456426,67100.9,0.009751666558316323,203,73097.89575018926
2022-07-23,200.2,15.4,0.0,5.8,2022-07-23,58747.96510033704,34197.53489966296,92945.5,0.024086135422347332,203,90266.51927466296
2022-07-24,60.300000000000004,18.0,2.0,9.1,2022-07-24,39959.290688888184,6300.709311111819,46260.0,0.0012200198237446306,203,40214.381186111816
2022-07-25,60.300000000000004,18.0,1.8,8.1,2022-07-25,47978.42172024105,6429.878279758953,54408.3,-0.011617559250093517,210,27413.925154758952
2022-07-26,73.60000000000001,12.8,0.6,12.6,2022-07-26,39953.53836822025,8990.961631779752,48944.5,-0.007421338227206373,210,34389.77608490475
2022-07-27,373.5,13.8,0.0,9.7,2022-07-27,-11974.263379988413,68098.16337998841,56123.9,-0.008979758327129623,210,53396.992481550915
2022-07-28,360.0,17.2,0.1,6.4,2022-07-28,-11168.807051315096,65079.307051315096,53910.5,-0.007039166000002527,210,47901.228926315096
2022-07-29,386.7,17.0,0.0,7.4,2022-07-29,-3039.380922097582,69757.18092209758,66717.8,0.009751666558335781,210,73631.04688889446
2022-07-30,186.9,18.0,0.0,7.3,2022-07-30,45809.68601328555,31251.81398671445,77061.5,0.024086135422341847,210,87208.64211171445
2022-07-31,286.7,16.3,0.30000000000000004,7.9,2022-07-31,-6250.561578974208,49862.761578974205,43612.2,0.001220019823719937,210,49942.31455748983
2022-08-01,206.7,15.8,0.0,7.8,2022-08-01,12387.471129189958,34431.12887081004,46818.6,-0.011617559250085856,248,31879.238978231915
2022-08-02,33.5,17.4,3.2,10.7,2022-08-02,40968.06663983305,1128.7333601669516,42096.8,-0.007421338227199108,248,24283.528282041952
2022-08-03,60.2,19.2,0.1,8.6,2022-08-03,44770.18652490822,6212.513475091775,50982.7,-0.008979758327124639,248,36398.55839696678
2022-08-04,120.2,18.4,0.4,8.3,2022-08-04,41006.427290528154,17429.57270947185,58436.0,-0.007039165999984786,248,30216.80513134685
2022-08-05,326.5,15.9,0.2,7.6,2022-08-05,3874.8390143849756,55843.96098561503,59718.8,0.009751666558346264,248,54893.54332204081
2022-08-06,120.2,15.1,0.30000000000000004,9.9,2022-08-06,75529.79533019275,16603.604669807242,92133.4,0.024086135422336362,248,86399.54216980725
2022-08-07,40.2,14.9,6.8,5.4,2022-08-07,46993.48576883032,2534.1142311696813,49527.6,0.0012200198238044796,248,36821.39548116968
2022-08-08,140.0,17.6,0.0,4.9,2022-08-08,29583.10187374935,20305.698126250652,49888.8,-0.011617559250078194,256,32379.097540313152
2022-08-09,160.0,18.4,0.0,4.6,2022-08-09,12924.171819895553,23760.328180104447,36684.5,-0.007421338227205091,256,33707.30669572945
2022-08-10,299.9,21.3,0.0,7.4,2022-08-10,1618.3002589801326,49160.19974101987,50778.5,-0.008979758327131606,256,39747.20169414487
2022-08-11,293.3,22.0,0.0,7.7,2022-08-11,1723.0739131590672,47452.62608684093,49175.7,-0.007039165999983635,256,39427.92686809093
2022-08-12,540.0,19.0,0.0,4.6,2022-08-12,-20721.24873155146,91476.54873155146,70755.3,0.009751666558271284,256,65203.40224717646
2022-08-13,660.0,21.4,0.0,4.6,2022-08-13,-12869.263117048496,112207.16311704849,99337.9,0.024086135422330877,256,116689.15823423599
2022-08-14,220.0,27.3,0.0,5.6,2022-08-14,5453.887736645309,32739.512263354693,38193.4,0.0012200198237797852,256,37915.92095476094
2022-08-15,80.0,25.2,0.0,7.0,2022-08-15,49314.31143221226,7628.088567787744,56942.4,-0.011617559250094368,264,45388.885442787745
2022-08-16,40.2,21.9,1.6,6.5,2022-08-16,86158.60236216095,2772.8976378390576,88931.5,-0.007421338227184576,264,46634.59685658906
2022-08-17,40.2,17.0,0.0,8.5,2022-08-17,82777.91271339392,2019.4872866060823,84797.4,-0.008979758327138572,264,53411.06931785608
2022-08-18,153.4,16.0,0.0,4.8,2022-08-18,69800.15965662024,21837.440343379774,91637.6,-0.00703916600001581,264,53012.88370275477
2022-08-19,93.60000000000001,17.6,4.8,8.8,2022-08-19,91765.88570757078,11140.41429242922,102906.3,0.009751666558287748,264,70669.88304242922
2022-08-20,160.2,19.2,3.2,8.3,2022-08-20,107694.26927160392,22587.330728396093,130281.6,0.0240861354223283,264,102174.87760339609
2022-08-21,206.7,17.8,1.6,7.6,2022-08-21,28156.18755443288,30936.612445567123,59092.8,0.0012200198237633172,264,57844.46205494212
2022-08-22,86.8,18.1,0.0,4.1,2022-08-22,-23091.948793789168,56056.148793789165,32964.2,-0.011617559250078206,272,58575.76817855479
2022-08-23,93.5,22.4,0.0,9.4,2022-08-23,-21415.58603056467,57301.08603056467,35885.5,-0.0074213382272139625,272,62369.63583525217
2022-08-24,66.8,23.2,0.0,11.8,2022-08-24,-4360.775410197151,53042.17541019715,48681.4,-0.00897975832714554,272,55432.80724613465
2022-08-25,73.3,23.2,0.0,10.1,2022-08-25,-6108.517128200481,54499.01712820048,48390.5,-0.0070391660000146605,272,56963.482704372356
2022-08-26,266.8,20.6,1.0,8.3,2022-08-26,19630.07535667473,87747.42464332527,107377.5,0.009751666558307207,272,67790.52815895027
2022-08-27,653.3,17.4,0.0,10.4,2022-08-27,13097.30632179053,151758.09367820946,164855.4,0.02408613542231991,272,180450.53117820946
2022-08-28,420.0,17.6,0.2,9.4,2022-08-28,-41732.60714849092,113546.50714849091,71813.9,0.0012200198237468493,272,91999.62433599091
2022-08-29,360.0,18.5,0.0,4.4,2022-08-29,-29922.521737029485,72758.52173702948,42836.0,-0.01161755925009438,280,50013.722908904485
2022-08-30,360.0,17.4,0.0,4.3,2022-08-30,-23501.71413168741,73553.81413168741,50052.1,-0.0074213382272066974,280,55917.00749106241
2022-08-31,306.7,19.1,0.0,4.9,2022-08-31,34343.4055272058,65921.1944727942,100264.6,-0.008979758327140552,280,44997.4405665442
2022-09-01,360.0,18.2,0.0,4.7,2022-09-01,-29921.69007428464,75581.59007428464,45659.9,-0.007039165999996919,315,45315.13694928464
2022-09-02,513.3,19.6,0.0,4.7,2022-09-02,-16000.444575354835,97757.24457535484,81756.8,0.009751666558326667,315,68501.49848160484
2022-09-03,313.5,21.5,0.0,5.6,2022-09-03,47975.037959936235,66420.26204006377,114395.3,0.024086135422343894,315,104117.26204006377
2022-09-04,266.7,21.5,0.0,7.3,2022-09-04,-21311.250082203158,64120.05008220316,42808.8,0.0012200198237303816,315,52958.29812907816
2022-09-05,46.8,20.2,0.0,9.1,2022-09-05,12064.005276206259,21780.99472379374,33845.0,-0.01161755925008672,324,27306.14560269999
2022-09-06,360.0,21.0,0.0,7.4,2022-09-06,-31617.75965972891,72337.75965972891,40720.0,-0.0074213382272126805,324,47078.77137847891
2022-09-07,40.2,17.1,2.1,5.1,2022-09-07,16541.77210239385,23874.12789760615,40415.9,-0.008979758327159477,324,27891.121794090526
2022-09-08,133.4,19.5,0.0,7.6,2022-09-08,9318.297330635629,39859.30266936437,49177.6,-0.0070391660000290925,324,31651.45305998937
2022-09-09,60.300000000000004,16.8,0.0,9.0,2022-09-09,42062.60010391835,26004.099896081647,68066.7,0.00975166655834014,324,51608.29911483165
2022-09-10,153.5,18.0,0.0,3.6,2022-09-10,48339.16090007943,41484.03909992057,89823.2,0.02408613542233841,324,80536.19534992057
2022-09-11,213.4,17.4,0.0,4.4,2022-09-11,2302.888853479948,55756.411146520055,58059.3,0.0012200198237056865,324,46661.372084020055
2022-09-12,40.2,16.3,9.7,10.9,2022-09-12,-4939.62558677022,26975.52558677022,22035.9,-0.011617559250090975,333,30353.59882895772
2022-09-13,46.800000000000004,15.4,5.0,13.4,2022-09-13,-9271.701694567852,28912.20169456785,19640.5,-0.007421338227218665,333,36996.89993675535
2022-09-14,113.39999999999999,14.0,2.8,10.2,2022-09-14,-7579.662101065092,39701.26210106509,32121.6,-0.008979758327131103,333,40036.05976952212
2022-09-15,46.8,12.7,4.4,14.9,2022-09-15,-5220.624224341773,30518.124224341773,25297.5,-0.007039166000019648,333,31017.864885962867
2022-09-16,359.9,15.0,0.0,13.5,2022-09-16,-1863.6747460110637,73120.17474601106,71256.5,0.0097516665583596,333,80145.08978507356
2022-09-17,466.7,13.3,0.0,12.4,2022-09-17,23411.888799452165,88581.41120054784,111993.3,0.02408613542233583,333,108790.93854429784
2022-09-18,400.0,15.1,0.0,8.9,2022-09-18,-42654.58886393349,82476.38886393349,39821.8,0.0012200198237984545,333,60231.32636393349
2022-09-19,360.0,14.2,0.0,8.9,2022-09-19,-41978.13648439529,69770.63648439529,27792.5,-0.011617559250086729,342,52306.77906252029
2022-09-20,360.0,14.1,0.0,3.8,2022-09-20,-32347.592260766593,62532.69226076659,30185.1,-0.0074213382271981505,342,39375.14733889159
2022-09-21,206.7,15.3,0.0,4.2,2022-09-21,-10967.246273490146,39170.046273490145,28202.8,-0.00897975832713807,342,29247.697640677645
2022-09-22,40.2,15.7,16.2,10.4,2022-09-22,15314.786156713857,18602.91384328614,33917.7,-0.007039166000018499,342,27134.08083547364
2022-09-23,479.9,14.8,8.9,9.0,2022-09-23,12459.629478216048,49704.170521783955,62163.8,0.009751666558376067,342,73656.22911553396
2022-09-24,660.0,14.7,0.0,7.9,2022-09-24,48813.71234770209,50720.78765229791,99534.5,0.024086135422333246,342,90924.5962460479
2022-09-25,46.9,12.3,7.5,6.8,2022-09-25,28004.194358120767,9712.705641879233,37716.9,0.00122001982377376,342,35583.109938754234
2022-09-26,60.1,13.5,2.8,7.4,2022-09-26,17105.325941622847,7347.274058377153,24452.6,-0.011617559250090987,351,23105.637339627152
2022-09-27,46.8,12.1,0.7,4.4,2022-09-27,17417.251942903513,4159.448057096487,21576.7,-0.0074213382272041335,351,24385.024228971488
2022-09-28,226.6,15.9,0.0,7.1,2022-09-28,27219.807003004273,3819.4929969957257,31039.3,-0.008979758327133082,351,18426.677567308227
2022-09-29,360.0,15.3,0.0,5.3,2022-09-29,26151.1,0.0,26151.1,-0.007039166000009052,351,19921.32421875
2022-09-30,200.1,14.5,3.5,11.1,2022-09-30,53242.4,0.0,53242.4,0.009751666558298094,351,54474.8828125
2022-10-01,0.0,15.3,1.1,10.1,2022-10-01,98322.2,0.0,98322.2,0.024086135422324857,390,86315.0
2022-10-02,0.0,14.3,1.2,8.4,2022-10-02,30338.3,0.0,30338.3,0.0012200198237655177,390,36588.7734375
2022-10-03,0.0,14.6,0.0,7.2,2022-10-03,26580.3,0.0,26580.3,-0.011617559250083325,400,26582.29296875
2022-10-04,0.0,15.2,12.4,11.1,2022-10-04,18871.6,0.0,18871.6,-0.007421338227196871,400,35186.67578125
2022-10-05,0.0,14.6,12.799999999999999,9.6,2022-10-05,25334.2,0.0,25334.2,-0.00897975832712862,400,29637.259765625
2022-10-06,0.0,14.3,5.5,12.1,2022-10-06,31822.78026789265,1261.21973210735,33084.0,-0.007039166000007903,400,24353.23535710735
2022-10-07,0.0,13.9,6.8,10.6,2022-10-07,45415.689611971466,3336.6103880285377,48752.3,0.00975166655831456,400,45812.82132552854
2022-10-08,0.0,12.0,0.8,7.8,2022-10-08,82519.44770205091,5769.052297949098,88288.5,0.02408613542232228,400,60385.9546416991
2022-10-09,0.0,13.7,0.0,11.1,2022-10-09,26939.310258509857,7907.989741490145,34847.3,0.0012200198237408233,400,36081.61474149014
